Date,Price,Open,High,Low,Vol.,Change %
2008/2/14,"1,828.90","1,801.80","1,841.70","1,801.80",137.80M,1.52%
2008/2/13,"1,801.50","1,834.50","1,849.00","1,801.50",154.48M,-1.86%
2008/2/12,"1,835.60","1,780.90","1,835.60","1,768.00",152.41M,3.12%
2008/2/11,"1,780.10","1,809.20","1,809.20","1,733.50",86.08M,-1.59%
2008/2/8,"1,808.90","1,765.70","1,818.90","1,765.70",131.89M,2.45%
2008/2/7,"1,765.60","1,768.10","1,771.60","1,715.50",149.40M,-0.08%
2008/2/6,"1,767.10","1,848.90","1,848.90","1,767.10",129.63M,-4.47%
2008/2/5,"1,849.70","1,902.00","1,902.00","1,834.20",146.78M,-2.77%
2008/2/4,"1,902.30","1,881.70","1,951.20","1,875.90",117.60M,1.14%
2008/2/1,"1,880.90","1,817.30","1,915.40","1,817.00",168.47M,3.51%
2008/1/31,"1,817.20","1,801.00","1,818.40","1,732.30",209.23M,0.91%
2008/1/30,"1,800.80","1,835.40","1,886.40","1,785.60",173.27M,-1.89%
2008/1/29,"1,835.50","1,905.40","1,905.40","1,828.60",267.90M,-3.69%
2008/1/25,"1,905.80","1,807.30","1,905.80","1,807.30",287.56M,5.49%
2008/1/24,"1,806.60","1,693.50","1,806.60","1,693.50",251.40M,6.78%
2008/1/23,"1,691.90","1,668.50","1,752.60","1,668.40",276.66M,1.48%
2008/1/22,"1,667.20","1,779.10","1,779.20","1,660.30",202.45M,-6.31%
2008/1/21,"1,779.40","1,806.30","1,807.00","1,764.40",147.25M,-1.52%
2008/1/18,"1,806.90","1,816.10","1,818.90","1,748.70",160.44M,-0.54%
2008/1/17,"1,816.80","1,798.40","1,844.50","1,798.30",248.66M,1.05%
2008/1/16,"1,797.90","1,804.10","1,804.10","1,744.40",335.49M,-0.37%
2008/1/15,"1,804.60","1,841.80","1,855.60","1,799.90",359.46M,-2.04%
2008/1/14,"1,842.10","1,865.10","1,872.20","1,826.10",122.55M,-1.23%
2008/1/11,"1,865.00","1,918.70","1,929.40","1,863.00",118.08M,-2.79%
2008/1/10,"1,918.50","1,949.40","1,951.80","1,905.20",296.27M,-1.57%
2008/1/9,"1,949.10","1,952.80","1,952.80","1,915.70",186.91M,-0.23%
2008/1/8,"1,953.60","1,976.70","2,011.20","1,953.00",199.66M,-1.14%
2008/1/7,"1,976.20","2,042.80","2,042.90","1,943.20",211.31M,-3.27%
2008/1/4,"2,043.10","2,046.80","2,052.80","2,029.50",192.97M,-0.17%
2008/1/3,"2,046.50","2,106.20","2,106.20","2,025.70",141.05M,-2.85%
2008/1/2,"2,106.60","2,111.30","2,144.90","2,098.20",144.30M,-0.22%
2007/12/31,"2,111.20","2,098.00","2,120.70","2,086.30",77.27M,0.61%
2007/12/28,"2,098.40","2,127.20","2,129.90","2,085.80",125.23M,-1.40%
2007/12/27,"2,128.20","2,154.10","2,154.80","2,128.20",127.41M,-1.17%
2007/12/24,"2,153.50","2,133.30","2,156.70","2,127.30",93.66M,0.94%
2007/12/21,"2,133.40","2,138.30","2,150.60","2,117.40",281.45M,-0.25%
2007/12/20,"2,138.80","2,138.30","2,161.30","2,107.30",409.69M,0.05%
2007/12/19,"2,137.80","2,088.70","2,167.20","2,073.40",504.37M,2.34%
2007/12/18,"2,088.90","2,029.80","2,099.20","1,932.00",535.94M,2.90%
2007/12/17,"2,030.00","2,291.90","2,291.90","2,030.00",312.86M,-11.42%
2007/12/14,"2,291.70","2,338.90","2,342.30","2,278.40",113.65M,-2.01%
2007/12/13,"2,338.70","2,378.00","2,378.00","2,328.50",86.25M,-1.66%
2007/12/12,"2,378.10","2,419.20","2,419.40","2,371.60",85.45M,-1.72%
2007/12/11,"2,419.70","2,394.90","2,428.90","2,394.90",100.06M,1.04%
2007/12/10,"2,394.80","2,404.90","2,404.90","2,379.30",63.83M,-0.52%
2007/12/7,"2,407.20","2,394.10","2,416.60","2,393.00",71.24M,0.56%
2007/12/6,"2,393.80","2,323.60","2,398.90","2,323.50",180.70M,3.03%
2007/12/5,"2,323.40","2,349.40","2,349.40","2,309.30",104.95M,-1.11%
2007/12/4,"2,349.50","2,336.20","2,368.10","2,336.20",145.90M,0.58%
2007/12/3,"2,335.90","2,293.80","2,348.50","2,293.80",93.19M,1.84%
2007/11/30,"2,293.70","2,301.40","2,310.10","2,283.20",178.48M,-0.32%
2007/11/29,"2,301.00","2,270.60","2,319.80","2,270.60",173.68M,1.36%
2007/11/28,"2,270.10","2,307.80","2,307.80","2,250.80",152.07M,-1.63%
2007/11/27,"2,307.60","2,359.60","2,359.60","2,285.70",143.89M,-2.23%
2007/11/26,"2,360.20","2,340.20","2,362.60","2,339.40",72.52M,0.86%
2007/11/23,"2,340.10","2,312.90","2,340.10","2,312.90",52.46M,1.20%
2007/11/22,"2,312.40","2,328.30","2,328.30","2,304.90",90.90M,-0.67%
2007/11/21,"2,327.90","2,335.20","2,339.20","2,313.70",107.00M,-0.31%
